CV Ratio:	Orig vars:	Inv vars:	Orig Clauss:	Inv Clauss:	Avg ClauseSize:	ClauseSize:	SatAvgPer100:	
1.0	9.703333333333333	9.076666666666666	10.0	4.476666666666667	4.355992063492062	18.953333333333333	100.0	
1.1	9.803333333333333	9.213333333333333	11.0	4.733333333333333	4.456579365079373	20.466666666666665	100.0	
1.2	9.913333333333334	9.42	12.0	4.88	4.580476190476194	21.76	100.0	
1.3	9.89	9.516666666666667	13.0	5.073333333333333	4.66726984126984	23.14666666666667	100.0	
1.4	9.923333333333334	9.6	14.0	5.376666666666667	4.71609259259258	24.753333333333334	100.0	
1.5	9.94	9.616666666666667	15.0	5.586666666666667	4.77488095238095	26.173333333333332	100.0	
1.6	9.976666666666667	9.75	16.0	5.883333333333334	4.834518518518529	27.766666666666666	100.0	
1.7	9.98	9.736666666666666	17.0	6.08	4.874461640211636	29.16	100.0	
1.8	9.98	9.823333333333334	18.0	6.216666666666667	4.989264069264072	30.433333333333334	100.0	
1.9	9.983333333333333	9.823333333333334	19.0	6.6	4.972069745069746	32.2	100.0	
2.0	10.0	9.866666666666667	20.0	6.73	5.041909571909575	33.46	100.0	
2.1	9.996666666666666	9.883333333333333	21.0	6.953333333333333	5.083335858585859	34.906666666666666	100.0	
2.2	9.996666666666666	9.9	22.0	7.206666666666667	5.1130873015873	36.413333333333334	100.0	
2.3	9.996666666666666	9.953333333333333	23.0	7.33	5.197365079365076	37.66	100.0	
2.4	10.0	9.926666666666666	24.0	7.54	5.243849927849925	39.08	100.0	
2.5	10.0	9.923333333333334	25.0	7.9	5.224317580567595	40.8	100.0	
2.6	10.0	9.943333333333333	26.0	8.03	5.295931457431459	42.06	100.0	
2.7	10.0	9.983333333333333	27.0	8.233333333333333	5.331954545454552	43.46666666666667	99.66666666666667	
2.8	10.0	9.966666666666667	28.0	8.546666666666667	5.3327169127169025	45.093333333333334	100.0	
2.9	10.0	9.983333333333333	29.0	8.65	5.403974386724379	46.3	99.66666666666667	
3.0	10.0	9.97	30.0	8.92	5.413513708513703	47.84	99.66666666666667	
3.1	10.0	9.986666666666666	31.0	9.0	5.486363035113013	49.0	100.0	
3.2	10.0	9.986666666666666	32.0	9.283333333333333	5.4934603174603405	50.56666666666667	99.66666666666667	
3.3	10.0	9.993333333333334	33.0	9.493333333333334	5.51649603174603	51.986666666666665	98.0	
3.4	10.0	9.993333333333334	34.0	9.833333333333334	5.495287619787631	53.666666666666664	96.0	
3.5	10.0	9.993333333333334	35.0	9.94	5.561263597513607	54.88	94.66666666666667	
3.6	10.0	9.996666666666666	36.0	10.19	5.5746370296370165	56.38	96.0	
3.7	9.996666666666666	9.99	37.0	10.593333333333334	5.529473424723414	58.18666666666667	95.66666666666667	
3.8	10.0	9.993333333333334	38.0	10.573333333333334	5.635552669552668	59.14666666666667	92.66666666666666	
3.9	10.0	9.99	39.0	10.856666666666667	5.630509018759015	60.71333333333333	88.66666666666667	
4.0	10.0	10.0	40.0	11.073333333333334	5.642811632811641	62.14666666666667	87.66666666666667	
4.1	10.0	10.0	41.0	11.25	5.672202538202546	63.5	82.33333333333334	
4.2	9.996666666666666	9.99	42.0	11.443333333333333	5.701469948352304	64.88666666666667	82.0	
4.3	10.0	10.0	43.0	11.61	5.733771284271289	66.22	76.66666666666667	
4.4	10.0	10.0	44.0	12.046666666666667	5.682104192104207	68.09333333333333	72.0	
4.5	10.0	10.0	45.0	12.036666666666667	5.76713390775891	69.07333333333334	65.66666666666666	
4.6	10.0	10.0	46.0	12.366666666666667	5.744432040182022	70.73333333333333	67.0	
4.7	10.0	9.996666666666666	47.0	12.6	5.756195345504172	72.2	60.333333333333336	
4.8	10.0	10.0	48.0	12.856666666666667	5.763571761571745	73.71333333333334	59.66666666666667	
4.9	10.0	10.0	49.0	12.98	5.799022081676473	74.96	49.333333333333336	
5.0	10.0	10.0	50.0	13.08	5.845663364413366	76.16	45.0	
5.1	10.0	10.0	51.0	13.453333333333333	5.813146561771555	77.90666666666667	46.0	
5.2	10.0	10.0	52.0	13.633333333333333	5.838218105423995	79.26666666666667	41.66666666666667	
5.3	10.0	9.996666666666666	53.0	13.973333333333333	5.815200127486887	80.94666666666667	37.333333333333336	
5.4	10.0	10.0	54.0	14.04	5.865732414644183	82.08	33.33333333333333	
5.5	10.0	10.0	55.0	14.186666666666667	5.898936049116002	83.37333333333333	29.666666666666668	
5.6	10.0	10.0	56.0	14.466666666666667	5.891982403217707	84.93333333333334	24.666666666666668	
5.7	10.0	10.0	57.0	14.796666666666667	5.872113171142585	86.59333333333333	28.666666666666668	
5.8	10.0	10.0	58.0	15.016666666666667	5.880412863480955	88.03333333333333	22.666666666666664	
5.9	10.0	10.0	59.0	15.116666666666667	5.9220676937441725	89.23333333333333	22.333333333333332	
